sport,event,year,athlete_id,country_id,bronze,silver,gold
Cycling,All Around,2012,294,33,0,0,1
Boxing,Butterfly,2012,645,43,0,0,1
Cycling,400m,2016,424,27,1,1,0
Tennis,400m,2004,735,34,0,0,1
Boxing,Butterfly,2008,445,4,1,0,0
Weightlifting,100m,2024,731,43,1,1,1
Shooting,Final,2024,761,21,1,0,1
Shooting,Doubles,2008,718,26,1,0,1
Boxing,Butterfly,2008,903,20,0,0,1
Wrestling,400m,2020,554,19,0,0,1
Shooting,Freestyle,2024,164,2,0,1,0
Rowing,Butterfly,2020,114,47,0,1,1
Shooting,Freestyle,2004,49,49,0,1,1
Weightlifting,100m,2016,348,16,0,1,1
Rowing,Doubles,2024,144,46,1,0,0
Boxing,Singles,2020,198,50,1,1,0
Gymnastics,Butterfly,2016,84,6,0,1,0
Tennis,Relay,2016,80,24,1,1,1
Weightlifting,All Around,2024,434,29,1,1,0
Gymnastics,Singles,2008,497,46,1,0,0
Cycling,All Around,2016,34,48,0,1,0
Weightlifting,Butterfly,2004,124,24,1,0,0
Athletics,Freestyle,2012,384,20,1,1,0
Gymnastics,400m,2020,432,4,1,1,0
Gymnastics,All Around,2004,126,36,1,0,0
Wrestling,All Around,2020,318,37,1,1,1
Tennis,Doubles,2008,781,9,1,1,1
Gymnastics,Freestyle,2004,820,40,1,1,0
Wrestling,Freestyle,2020,47,43,1,1,0
Gymnastics,100m,2020,646,50,1,0,0
Cycling,Doubles,2020,591,49,0,0,1
Shooting,100m,2004,675,35,0,0,1
Cycling,Relay,2024,860,38,1,0,1
Wrestling,Doubles,2004,504,2,1,1,0
Wrestling,100m,2020,325,25,1,0,0
Athletics,Singles,2008,293,10,0,1,0
Gymnastics,Final,2016,695,11,0,1,0
Swimming,100m,2012,400,7,1,0,1
Boxing,Final,2016,965,8,0,0,0
Weightlifting,Doubles,2008,505,33,1,0,1
Swimming,Freestyle,2016,567,27,0,1,0
Wrestling,Relay,2004,276,36,0,0,0
Rowing,Doubles,2016,457,6,0,0,1
Shooting,400m,2008,551,28,1,0,0
Tennis,Doubles,2012,669,11,0,0,1
Rowing,Doubles,2012,860,44,1,1,0
Weightlifting,Singles,2012,47,11,0,1,0
Wrestling,200m,2008,743,36,1,1,0
Weightlifting,Singles,2012,906,44,1,1,1
Rowing,Relay,2024,330,22,0,1,1
Swimming,400m,2024,945,1,1,0,0
Gymnastics,Butterfly,2020,917,45,1,1,0
Athletics,Singles,2004,914,43,1,0,1
Wrestling,Doubles,2012,397,12,0,0,1
Boxing,Relay,2016,10,15,0,1,1
Cycling,200m,2020,641,20,0,0,1
Boxing,100m,2012,505,46,0,0,0
Wrestling,200m,2012,583,33,1,0,0
Weightlifting,Doubles,2020,180,5,0,0,0
Rowing,Doubles,2008,903,34,1,0,0
Shooting,Doubles,2012,698,36,1,0,1
Swimming,Freestyle,2016,865,27,1,0,1
Tennis,Freestyle,2020,778,3,0,0,1
Wrestling,Singles,2016,324,1,1,0,1
Athletics,Doubles,2004,756,15,1,0,0
Cycling,400m,2012,319,5,0,0,1
Wrestling,100m,2020,817,41,1,1,0
Athletics,All Around,2008,982,22,0,1,0
Athletics,Doubles,2020,450,49,0,1,0
Athletics,100m,2004,387,21,0,0,0
Tennis,100m,2012,626,41,1,0,0
Swimming,Singles,2004,302,25,1,0,1
Cycling,Doubles,2024,639,1,1,1,1
Wrestling,Doubles,2020,104,22,0,1,1
Weightlifting,Relay,2004,106,1,0,0,0
Shooting,Final,2012,432,31,1,0,0
Gymnastics,100m,2004,131,20,1,1,1
Weightlifting,Singles,2008,151,31,1,1,1
Boxing,100m,2020,601,43,0,0,0
Shooting,Singles,2004,433,23,0,0,0
Athletics,Freestyle,2008,684,31,1,1,1
Weightlifting,Final,2016,337,11,0,1,0
Tennis,Relay,2004,655,15,0,1,0
Cycling,All Around,2024,787,22,1,0,1
Gymnastics,100m,2012,11,5,1,0,0
Gymnastics,Final,2016,200,41,1,0,0
Cycling,Relay,2012,179,15,1,0,1
Shooting,Relay,2008,201,2,0,1,0
Swimming,400m,2016,671,8,1,0,1
Tennis,Relay,2012,829,24,0,1,0
Athletics,400m,2008,814,13,0,1,1
Boxing,Doubles,2016,652,16,0,0,1
Gymnastics,Freestyle,2008,55,41,1,0,1
Cycling,200m,2016,810,43,0,0,1
Shooting,Freestyle,2016,532,30,0,1,1
Shooting,All Around,2024,979,32,1,1,1
Weightlifting,100m,2008,225,13,1,0,1
Cycling,Final,2016,911,25,0,1,1
Shooting,200m,2008,770,6,1,1,1
Cycling,Doubles,2004,477,33,1,1,1
Tennis,Butterfly,2016,377,32,1,1,1
Swimming,400m,2016,240,17,0,1,0
Rowing,Singles,2020,560,42,0,1,0
Athletics,200m,2004,369,3,0,1,0
Boxing,Final,2012,764,50,1,0,0
Shooting,Final,2004,789,20,1,1,1
Wrestling,Doubles,2024,13,31,0,1,0
Cycling,Relay,2016,240,34,1,1,1
Athletics,Freestyle,2008,440,50,1,0,1
Tennis,Singles,2004,384,9,0,1,0
Tennis,Freestyle,2012,231,27,1,1,1
Boxing,Doubles,2004,582,3,0,0,1
Weightlifting,Doubles,2020,588,26,1,0,1
Athletics,Singles,2016,193,31,0,1,1
Rowing,200m,2008,107,44,0,0,1
Swimming,400m,2008,72,25,1,0,0
Rowing,Singles,2004,466,4,1,0,0
Boxing,Butterfly,2016,161,8,0,1,1
Athletics,Butterfly,2008,134,14,1,1,1
Gymnastics,Doubles,2020,962,20,0,1,1
Cycling,100m,2008,457,5,1,0,1
Weightlifting,All Around,2016,474,37,0,0,1
Tennis,Freestyle,2024,863,46,1,1,0
Wrestling,Relay,2008,922,40,1,1,1
Gymnastics,Doubles,2004,403,45,0,0,0
Rowing,Singles,2012,683,5,0,1,1
Shooting,200m,2012,79,49,0,1,1
Tennis,400m,2012,213,33,0,1,0
Athletics,All Around,2016,352,48,1,0,1
Swimming,100m,2012,118,46,0,1,1
Tennis,All Around,2004,85,36,0,1,0
Tennis,Final,2008,175,2,0,0,1
Athletics,Singles,2024,401,11,0,0,1
Gymnastics,All Around,2012,183,14,0,0,1
Swimming,Singles,2024,679,46,0,1,1
Tennis,100m,2020,5,4,1,0,0
Boxing,Relay,2008,94,2,1,0,0
Boxing,Relay,2024,686,5,0,0,0
Gymnastics,100m,2016,525,7,1,1,0
Weightlifting,Relay,2020,405,28,0,0,0
Athletics,Freestyle,2012,178,1,1,1,0
Wrestling,Relay,2016,226,5,1,1,0
Athletics,Relay,2016,309,50,1,0,0
Rowing,200m,2020,333,41,1,0,1
Gymnastics,Freestyle,2024,494,5,1,0,1
Wrestling,Singles,2024,760,15,0,0,0
Weightlifting,200m,2012,243,48,1,0,0
Swimming,400m,2012,511,19,0,0,1
Cycling,100m,2008,946,47,1,1,0
Rowing,Freestyle,2024,806,49,0,1,1
Swimming,Relay,2024,340,22,0,0,0
Cycling,Relay,2020,894,25,1,0,1
Swimming,200m,2016,72,13,0,0,0
Gymnastics,200m,2008,607,36,0,0,0
Wrestling,All Around,2012,169,47,0,0,1
Gymnastics,Doubles,2008,311,19,1,0,1
Tennis,200m,2012,408,25,0,1,1
Wrestling,Singles,2020,753,28,0,1,0
Wrestling,Butterfly,2004,778,20,0,0,1
Wrestling,All Around,2012,465,19,1,1,0
Boxing,400m,2024,481,13,0,0,0
Swimming,Singles,2024,743,24,1,1,1
Wrestling,Freestyle,2016,502,20,0,1,0
Athletics,Butterfly,2020,167,13,1,1,1
Shooting,All Around,2024,706,24,0,1,1
Cycling,Relay,2016,36,24,0,0,1
Weightlifting,All Around,2024,151,17,0,0,0
Athletics,200m,2024,729,25,1,0,0
Wrestling,400m,2016,259,45,1,1,1
Wrestling,200m,2004,652,37,1,0,1
Cycling,Butterfly,2024,316,1,0,1,0
Athletics,200m,2024,428,34,1,1,1
Gymnastics,400m,2012,191,46,0,0,1
Gymnastics,Singles,2004,462,37,0,0,0
Swimming,400m,2008,266,27,1,0,0
Athletics,Final,2004,387,8,1,0,1
Swimming,Doubles,2008,490,32,0,0,0
Rowing,100m,2024,597,3,0,0,0
Wrestling,Doubles,2020,986,49,1,1,1
Boxing,Doubles,2016,345,24,1,1,0
Boxing,Butterfly,2016,626,4,1,1,0
Swimming,All Around,2024,412,47,0,0,0
Shooting,Final,2024,770,16,1,1,1
Shooting,Butterfly,2024,193,1,1,0,1
Swimming,Freestyle,2024,455,15,1,1,0
Boxing,Butterfly,2016,675,45,0,1,1
Weightlifting,Relay,2024,147,34,0,0,1
Athletics,Final,2024,562,30,0,1,0
Tennis,Singles,2008,250,14,0,0,0
Wrestling,100m,2008,952,21,1,1,0
Rowing,All Around,2024,127,43,0,1,0
Boxing,Relay,2020,785,39,0,1,1
Wrestling,Singles,2016,828,15,0,1,0
Rowing,200m,2004,92,22,0,0,1
Gymnastics,Freestyle,2016,591,48,0,1,0
Weightlifting,Singles,2008,868,25,1,1,1
Gymnastics,Singles,2024,617,38,0,0,1
Swimming,Singles,2016,324,10,1,0,1
Tennis,400m,2020,291,10,0,1,1
Shooting,200m,2012,869,46,1,0,1
Rowing,Butterfly,2004,830,22,0,0,0
Swimming,400m,2016,745,26,1,0,0
Shooting,Butterfly,2012,433,44,1,1,1
Wrestling,200m,2020,745,19,1,0,1
Athletics,400m,2012,771,38,0,1,1
Gymnastics,Doubles,2008,453,45,1,1,0
Cycling,Relay,2024,201,48,0,1,0
Gymnastics,Butterfly,2016,696,11,0,0,1
Tennis,400m,2004,121,33,1,1,0
Wrestling,Relay,2004,122,16,1,1,1
Weightlifting,400m,2024,764,25,0,1,1
Rowing,All Around,2012,12,8,0,0,0
Tennis,Singles,2008,24,38,1,1,0
Weightlifting,400m,2016,496,42,1,1,0
Athletics,Freestyle,2004,731,35,0,1,0
Wrestling,Singles,2020,803,34,1,0,0
Cycling,200m,2008,883,39,0,0,1
Boxing,200m,2004,132,37,0,0,0
Shooting,Final,2004,87,8,1,1,0
Wrestling,100m,2008,308,3,1,1,0
Weightlifting,All Around,2024,321,34,1,0,0
Swimming,Relay,2004,193,10,1,0,0
Weightlifting,Singles,2008,606,23,1,0,1
Athletics,Singles,2012,267,25,0,1,1
Athletics,Final,2024,436,45,0,0,0
Rowing,Relay,2024,382,37,0,1,0
Boxing,Butterfly,2016,27,39,0,0,1
Athletics,Singles,2004,701,36,1,0,1
Athletics,Freestyle,2012,797,18,0,0,1
Swimming,200m,2016,993,15,1,0,0
Gymnastics,Singles,2024,897,20,1,0,1
Weightlifting,Final,2020,278,39,0,0,0
Boxing,Butterfly,2008,354,48,1,1,0
Rowing,100m,2024,526,46,0,0,0
Wrestling,Doubles,2024,274,4,1,0,1
Tennis,400m,2016,363,30,1,1,1
Shooting,Relay,2012,651,6,1,1,1
Athletics,200m,2004,748,16,0,0,0
Athletics,Final,2020,952,32,0,1,0
Tennis,All Around,2020,702,44,0,1,0
Weightlifting,Relay,2024,8,46,1,1,0
Shooting,Doubles,2004,622,29,0,0,0
Athletics,Freestyle,2008,527,23,0,1,1
Wrestling,400m,2012,994,8,1,0,0
Rowing,Final,2016,301,17,0,0,1
Cycling,Final,2024,528,3,1,1,0
Boxing,100m,2020,472,22,1,1,0
Swimming,Freestyle,2024,191,26,1,0,0
Wrestling,All Around,2008,87,34,0,1,0
Tennis,100m,2008,788,43,1,0,1
Wrestling,Freestyle,2012,374,28,0,1,0
Tennis,All Around,2008,144,23,1,0,1
Cycling,200m,2008,292,3,0,1,1
Boxing,100m,2008,683,13,1,1,0
Wrestling,All Around,2020,508,44,0,1,1
Shooting,Butterfly,2008,113,7,0,0,0
Boxing,Singles,2004,786,44,0,0,1
Wrestling,Doubles,2024,9,28,1,1,1
Tennis,200m,2016,254,40,0,0,0
Rowing,200m,2012,718,16,1,0,1
Athletics,Singles,2020,186,13,0,0,0
Gymnastics,Butterfly,2004,281,13,0,1,0
Weightlifting,Relay,2004,886,4,1,1,1
Cycling,Relay,2012,437,31,0,1,0
Rowing,200m,2012,373,18,1,1,0
Boxing,100m,2008,42,1,0,1,0
Rowing,All Around,2012,931,39,0,1,0
Rowing,All Around,2012,343,20,0,0,0
Shooting,400m,2012,370,48,1,1,0
Rowing,Relay,2020,394,6,0,0,0
Swimming,Doubles,2024,838,13,0,1,0
Athletics,Singles,2020,352,20,1,0,0
Swimming,400m,2008,429,36,1,1,1
Tennis,200m,2016,70,31,1,0,0
Weightlifting,Final,2024,991,9,1,0,0
Cycling,Butterfly,2016,702,35,0,0,1
Shooting,Butterfly,2020,799,25,1,1,0
Gymnastics,100m,2008,586,14,0,1,1
Rowing,Relay,2012,726,18,0,0,0
Swimming,Singles,2008,299,3,0,1,0
Rowing,100m,2024,255,14,0,0,1
Weightlifting,Freestyle,2012,86,46,1,0,1
Weightlifting,Final,2012,59,41,0,1,0
Rowing,400m,2012,995,2,0,1,1
Weightlifting,Singles,2008,837,29,0,1,1
Cycling,Doubles,2024,828,49,1,0,1
Cycling,Butterfly,2012,152,31,0,1,0
Tennis,400m,2008,194,37,1,0,1
Swimming,Final,2008,907,12,1,0,0
Gymnastics,200m,2016,252,30,1,0,0
Swimming,Doubles,2004,387,25,0,0,0
Swimming,400m,2008,789,6,1,0,0
Swimming,200m,2020,754,22,0,0,0
Tennis,Doubles,2016,836,11,1,1,1
Gymnastics,Relay,2004,557,45,1,0,0
Swimming,200m,2020,304,7,1,0,0
Cycling,100m,2008,438,25,0,1,1
Cycling,Butterfly,2024,906,46,0,1,0
Athletics,Relay,2004,980,19,1,0,1
Athletics,Freestyle,2004,918,3,0,0,1
Shooting,Freestyle,2020,186,44,1,0,1
Weightlifting,Final,2012,897,7,1,1,1
Rowing,200m,2004,883,10,0,1,0
Wrestling,All Around,2024,816,31,0,0,1
Rowing,400m,2004,331,9,0,1,1
Boxing,All Around,2016,493,45,1,1,0
Cycling,Butterfly,2016,563,32,1,0,1
Athletics,Doubles,2024,432,34,0,0,0
Boxing,100m,2008,872,2,1,1,0
Athletics,100m,2012,370,50,0,1,1
Gymnastics,Singles,2016,249,14,0,0,0
Athletics,400m,2016,751,2,1,1,0
Athletics,Doubles,2004,489,39,0,0,0
Boxing,400m,2004,251,5,0,1,0
Gymnastics,All Around,2024,144,48,1,1,1
Boxing,All Around,2024,712,1,1,0,0
Swimming,100m,2020,770,12,0,0,1
Wrestling,All Around,2020,729,17,1,0,1
Gymnastics,Final,2004,535,25,0,0,1
Weightlifting,100m,2008,402,12,0,1,1
Boxing,Butterfly,2016,169,4,1,1,0
Rowing,200m,2004,80,24,1,0,0
Rowing,400m,2020,110,5,0,0,1
Cycling,Singles,2008,654,3,0,1,0
Weightlifting,Doubles,2004,578,31,0,0,1
Athletics,Final,2004,366,49,1,1,0
Boxing,Butterfly,2024,365,9,0,1,1
Shooting,200m,2020,827,50,0,0,1
Tennis,Doubles,2004,298,11,0,1,0
Athletics,Relay,2008,827,44,0,0,1
Tennis,400m,2012,298,24,1,0,1
Cycling,Relay,2020,622,5,0,1,0
Swimming,400m,2012,561,6,1,0,1
Boxing,400m,2012,166,5,1,1,1
Athletics,200m,2008,728,50,1,1,1
Rowing,All Around,2024,947,9,0,1,0
Boxing,Final,2016,419,40,0,1,1
Shooting,Doubles,2012,383,6,1,1,1
Swimming,Doubles,2024,59,48,0,0,0
Athletics,Final,2016,163,37,1,0,0
Wrestling,All Around,2024,96,23,1,1,1
Athletics,200m,2008,750,7,1,1,0
Wrestling,Freestyle,2004,325,22,1,0,1
Athletics,Final,2016,40,35,0,1,0
Cycling,Freestyle,2020,33,39,1,0,1
Wrestling,All Around,2008,56,14,0,1,1
Rowing,400m,2004,146,5,1,1,0
Rowing,All Around,2016,538,14,1,0,0
Athletics,Butterfly,2012,987,49,1,0,0
Boxing,Butterfly,2016,487,35,0,1,1
Weightlifting,Butterfly,2004,575,39,0,0,0
Boxing,Freestyle,2004,155,30,0,1,1
Athletics,Butterfly,2012,534,47,0,1,0
Tennis,Doubles,2004,38,14,0,1,0
Weightlifting,Butterfly,2008,357,14,0,0,1
Boxing,100m,2012,919,20,0,1,1
Wrestling,Butterfly,2012,361,35,1,1,0
Gymnastics,All Around,2016,383,12,0,1,1
Rowing,Butterfly,2024,291,45,0,0,0
Athletics,100m,2020,955,27,0,1,0
Tennis,Singles,2020,826,3,1,1,0
Cycling,All Around,2020,391,8,0,1,0
Boxing,All Around,2016,930,42,1,0,1
Cycling,Singles,2012,275,43,1,1,1
Cycling,100m,2016,34,1,0,0,1
Shooting,Doubles,2012,344,11,1,0,1
Cycling,Doubles,2024,403,4,1,0,1
Gymnastics,Butterfly,2012,530,11,1,0,0
Gymnastics,Singles,2004,647,37,1,1,0
Boxing,Relay,2004,96,2,1,0,0
Swimming,Doubles,2024,557,6,1,0,0
Tennis,Freestyle,2008,246,42,0,1,0
Shooting,Relay,2024,799,25,1,0,1
Athletics,400m,2024,24,41,0,0,1
Weightlifting,200m,2004,146,19,1,0,0
Athletics,All Around,2012,935,14,1,0,1
Swimming,Butterfly,2004,499,41,0,0,1
Wrestling,Freestyle,2024,931,29,0,0,1
Swimming,400m,2024,581,41,0,0,1
Boxing,All Around,2020,615,35,0,0,1
Athletics,Relay,2020,31,35,0,0,0
Boxing,200m,2008,31,21,0,0,0
Gymnastics,Final,2012,494,13,0,1,1
Tennis,All Around,2016,525,26,0,1,0
Cycling,Final,2016,106,38,1,0,0
Tennis,Butterfly,2016,434,39,1,1,0
Weightlifting,Butterfly,2016,205,37,1,1,0
Tennis,400m,2004,982,33,1,1,1
Weightlifting,Singles,2012,408,2,0,0,1
Wrestling,400m,2012,252,5,0,1,1
Gymnastics,Freestyle,2004,10,21,0,1,0
Tennis,Doubles,2012,921,15,0,1,1
Weightlifting,Relay,2020,223,7,1,0,1
Wrestling,Freestyle,2012,203,13,0,1,1
Swimming,Final,2016,123,8,1,0,1
Weightlifting,Butterfly,2008,591,2,1,0,0
Tennis,Final,2008,862,26,0,0,1
Swimming,200m,2016,98,27,1,1,1
Boxing,Butterfly,2004,570,50,1,1,0
Wrestling,Final,2024,466,32,0,1,0
Swimming,Relay,2004,846,1,0,0,1
Wrestling,Relay,2008,91,13,1,0,0
Rowing,100m,2004,50,20,0,1,1
Weightlifting,Butterfly,2012,716,11,0,1,0
Gymnastics,Freestyle,2008,772,38,1,1,0
Shooting,Singles,2008,592,31,1,1,1
Tennis,Relay,2004,271,50,1,0,1
Shooting,Relay,2024,663,48,0,0,0
Tennis,100m,2008,14,43,0,1,1
Cycling,All Around,2004,349,14,1,1,1
Gymnastics,Singles,2004,937,9,0,1,1
Tennis,Doubles,2020,208,50,1,0,0
Rowing,Butterfly,2008,703,20,0,0,1
Athletics,200m,2008,17,30,0,1,0
Tennis,Singles,2016,361,17,0,0,1
Wrestling,Relay,2008,407,33,1,1,0
Tennis,Final,2012,101,4,1,1,0
Rowing,Relay,2016,181,39,1,1,1
Athletics,100m,2024,255,8,0,0,0
Swimming,Doubles,2012,245,5,0,1,0
Weightlifting,Butterfly,2016,403,7,0,1,1
Cycling,400m,2008,356,41,1,1,0
Athletics,400m,2020,930,45,1,1,0
Gymnastics,Freestyle,2024,72,11,0,1,1
Gymnastics,100m,2024,486,28,1,0,0
Rowing,200m,2008,696,49,0,1,1
Weightlifting,100m,2016,895,16,1,0,0
Swimming,Doubles,2024,298,15,0,0,0
Athletics,Final,2024,344,29,1,1,1
Tennis,Final,2012,470,1,1,1,1
Shooting,Doubles,2016,116,18,0,0,1
Cycling,400m,2012,510,2,0,1,1
Cycling,200m,2008,943,25,0,1,1
Shooting,400m,2012,933,44,1,1,1
Weightlifting,Butterfly,2012,317,13,0,1,0
Wrestling,All Around,2020,992,23,1,0,0
Tennis,400m,2016,698,10,1,0,1
Tennis,Final,2004,819,19,0,1,0
Cycling,Final,2020,127,4,1,1,0
Wrestling,Freestyle,2024,855,1,0,1,0
Boxing,Final,2020,682,50,0,0,1
Gymnastics,Relay,2016,600,6,1,0,0
Tennis,Freestyle,2008,832,44,1,1,1
Athletics,Final,2012,612,20,0,1,1
Weightlifting,400m,2024,787,13,1,0,1
Shooting,Relay,2012,313,6,1,1,0
Wrestling,Butterfly,2004,142,34,1,1,1
Tennis,Freestyle,2016,478,27,1,1,0
Shooting,100m,2016,91,49,0,1,0
Weightlifting,Singles,2012,131,40,1,0,1
Gymnastics,Butterfly,2024,7,30,1,0,0
Swimming,Final,2024,110,22,0,1,1
Boxing,100m,2004,759,38,0,0,0
Shooting,All Around,2008,229,44,0,1,1
Swimming,All Around,2020,705,13,0,0,0
Gymnastics,Doubles,2004,533,7,0,0,0
Tennis,100m,2020,455,26,0,0,1
Wrestling,All Around,2008,840,16,1,1,0
Wrestling,400m,2024,23,12,0,0,0
Shooting,Singles,2008,488,31,1,1,0
Weightlifting,All Around,2012,684,18,1,1,0
Tennis,Butterfly,2016,152,2,1,1,0
Weightlifting,Butterfly,2004,595,20,0,1,0
Boxing,400m,2016,904,47,1,1,0
Gymnastics,Freestyle,2020,877,33,0,1,1
Shooting,200m,2008,672,10,1,1,1
Gymnastics,Final,2024,311,26,0,1,1
Tennis,Doubles,2024,185,37,1,0,1
Weightlifting,Doubles,2012,599,40,1,0,0
Swimming,400m,2008,99,43,0,1,1
Boxing,Relay,2024,815,16,0,0,1
Wrestling,200m,2004,627,17,0,0,0
Tennis,Freestyle,2020,647,2,0,1,0
Tennis,Butterfly,2008,653,37,0,0,1
Tennis,All Around,2024,293,15,0,0,1
Shooting,Relay,2004,597,2,0,0,0
Gymnastics,100m,2012,793,27,0,1,0
Shooting,All Around,2008,853,14,1,1,1
Weightlifting,Singles,2008,821,5,1,1,1
Athletics,Doubles,2004,131,34,1,0,0
Tennis,Relay,2004,616,35,1,0,0
Rowing,Final,2016,721,23,0,0,1
Athletics,Singles,2020,248,34,1,1,0
Shooting,200m,2020,483,17,0,0,1
Wrestling,Final,2008,343,49,0,0,0
Shooting,Freestyle,2024,935,4,0,1,0
Weightlifting,Doubles,2024,856,49,0,1,0
Wrestling,Doubles,2024,628,6,1,0,1
Swimming,200m,2004,509,33,0,1,1
Tennis,Final,2008,22,4,0,0,1
Swimming,Singles,2016,54,25,1,0,1
Wrestling,Singles,2008,119,29,0,1,1
Cycling,Freestyle,2016,941,4,0,0,0
Weightlifting,100m,2008,423,48,0,0,0
Swimming,200m,2004,130,29,0,1,0
Boxing,Freestyle,2020,671,16,1,0,1
Tennis,200m,2024,79,5,1,0,1
Boxing,Relay,2016,731,20,1,1,0
Shooting,Final,2012,715,35,0,0,1
Wrestling,Doubles,2016,287,6,0,0,0
Rowing,Singles,2008,126,24,0,0,0
Tennis,All Around,2004,22,32,0,1,1
Weightlifting,Butterfly,2012,848,6,0,1,1
Tennis,100m,2016,394,29,0,0,0
Wrestling,400m,2024,442,35,0,1,0
Shooting,Freestyle,2004,932,39,1,1,0
Swimming,Freestyle,2024,850,40,1,1,0
Athletics,Singles,2016,976,47,1,1,1
Weightlifting,Doubles,2020,267,11,1,1,0
Gymnastics,100m,2012,819,44,1,0,0
Shooting,Final,2012,585,26,0,1,1
Rowing,Final,2024,830,50,0,0,1
Weightlifting,Freestyle,2012,868,12,1,1,0
Tennis,100m,2016,38,23,1,0,1
Swimming,Doubles,2004,284,40,1,0,1
Gymnastics,Final,2012,266,32,0,0,0
Gymnastics,Doubles,2024,51,15,0,0,0
Shooting,All Around,2020,325,3,0,0,1
Rowing,100m,2024,866,23,0,0,1
Athletics,200m,2020,455,8,0,0,0
Boxing,Doubles,2012,850,44,1,0,1
Rowing,400m,2004,335,39,1,1,1
Boxing,All Around,2012,637,2,0,1,0
Rowing,400m,2020,27,7,0,1,1
Cycling,Butterfly,2020,34,43,0,1,0
Athletics,Relay,2020,516,37,1,0,0
Weightlifting,All Around,2024,538,34,1,1,1
Cycling,Doubles,2012,933,16,1,0,1
Cycling,All Around,2012,767,8,0,1,1
Boxing,200m,2012,574,33,0,1,1
Weightlifting,Relay,2016,806,27,0,0,0
Wrestling,Doubles,2024,142,39,1,1,1
Boxing,200m,2004,419,27,0,1,0
Gymnastics,All Around,2004,171,8,1,1,1
Athletics,400m,2004,854,28,0,0,0
Gymnastics,Singles,2020,941,25,1,1,0
Wrestling,Singles,2008,730,19,0,1,1
Weightlifting,Doubles,2020,111,47,0,0,1
Tennis,Butterfly,2024,461,48,1,1,1
Gymnastics,400m,2024,785,38,0,0,0
Weightlifting,Doubles,2012,691,42,1,1,1
Tennis,400m,2020,740,38,1,0,0
Rowing,All Around,2012,50,37,1,1,1
Wrestling,Freestyle,2008,977,10,0,0,1
Shooting,Final,2020,901,40,1,0,1
Rowing,400m,2004,295,18,1,1,0
Gymnastics,Final,2012,621,49,0,0,1
Gymnastics,200m,2008,566,33,0,0,0
Shooting,Singles,2008,7,32,0,1,0
Rowing,Doubles,2016,750,29,0,1,1
Athletics,200m,2016,911,28,1,1,0
Gymnastics,Final,2024,685,8,1,0,0
Athletics,Freestyle,2008,520,22,1,1,0
Boxing,100m,2016,103,46,1,0,0
Swimming,Relay,2008,601,25,0,0,1
Tennis,400m,2016,834,12,1,1,0
Cycling,200m,2020,878,47,0,0,1
Athletics,All Around,2020,626,14,0,0,1
Rowing,Doubles,2016,647,38,0,1,1
Shooting,400m,2012,861,15,1,1,1
Wrestling,Doubles,2012,557,31,1,0,0
Athletics,Final,2016,993,29,1,0,1
Athletics,400m,2016,980,21,0,1,1
Gymnastics,All Around,2016,616,27,0,0,1
Rowing,Singles,2008,912,27,0,1,1
Boxing,Butterfly,2016,829,29,1,1,1
Swimming,Final,2016,746,15,1,0,1
Tennis,Butterfly,2008,587,11,0,0,1
Gymnastics,Doubles,2020,21,47,0,1,0
Boxing,Freestyle,2020,65,42,0,0,1
Shooting,Relay,2008,859,35,1,0,1
Gymnastics,Freestyle,2012,424,14,0,0,0
