sport,event,year,athlete_id,country_id,bronze,silver,gold
Curling,Event3,2022,380,17,0,1,1
Snowboard,Event2,2002,247,34,0,0,0
Skating,Event3,2014,416,39,1,0,1
Skiing,Event2,2018,559,49,1,1,0
Curling,Event2,2014,371,1,0,1,0
Skiing,Event4,2010,919,11,1,0,0
Curling,Event3,2006,258,45,0,0,0
Snowboard,Event3,2022,495,37,1,1,1
Curling,Event1,2014,203,15,1,0,0
Bobsleigh,Event3,2022,334,50,1,0,1
Snowboard,Event2,2018,914,19,0,1,0
Snowboard,Event4,2006,375,48,1,1,0
Snowboard,Event2,2022,768,29,0,1,0
Skating,Event4,2022,223,25,0,0,1
Skating,Event2,2022,140,27,0,0,0
Bobsleigh,Event4,2010,870,2,0,0,1
Curling,Event2,2022,964,29,0,0,1
Skiing,Event3,2014,489,22,1,1,0
Bobsleigh,Event1,2006,451,38,1,0,0
Skating,Event2,2018,189,35,0,0,0
Curling,Event4,2010,464,45,1,0,1
Bobsleigh,Event3,2010,341,8,0,1,1
Curling,Event2,2006,13,35,0,1,1
Skating,Event3,2006,603,37,1,0,0
Snowboard,Event1,2014,77,36,1,0,1
Snowboard,Event2,2018,614,17,1,0,0
Bobsleigh,Event2,2018,738,10,0,0,1
Curling,Event4,2002,314,45,0,1,1
Bobsleigh,Event1,2002,252,27,0,0,1
Bobsleigh,Event3,2022,977,42,1,0,1
Skiing,Event4,2018,308,5,0,0,1
Curling,Event1,2022,990,36,1,0,0
Skiing,Event1,2014,102,19,0,0,1
Skiing,Event2,2014,524,2,1,1,1
Skating,Event2,2014,138,50,0,0,0
Bobsleigh,Event4,2014,875,27,0,0,0
Snowboard,Event1,2022,945,33,0,1,0
Snowboard,Event3,2022,247,3,1,1,1
Bobsleigh,Event3,2006,121,36,0,0,0
Snowboard,Event4,2010,474,11,0,0,0
Skiing,Event2,2014,366,40,1,1,1
Skiing,Event2,2002,135,44,0,0,0
Skiing,Event4,2018,117,29,0,1,0
Curling,Event2,2014,877,21,0,0,1
Snowboard,Event2,2002,425,14,0,1,0
Bobsleigh,Event3,2006,887,30,0,1,0
Snowboard,Event1,2002,589,23,0,0,0
Skiing,Event1,2014,617,43,0,1,0
Curling,Event4,2022,174,10,0,0,0
Curling,Event4,2002,181,2,0,1,0
Skiing,Event3,2014,631,25,0,0,1
Skiing,Event4,2014,147,32,0,0,1
Skating,Event1,2022,731,37,0,1,0
Skating,Event2,2006,984,14,1,0,0
Bobsleigh,Event2,2014,136,21,0,0,1
Snowboard,Event3,2014,961,8,1,0,0
Skating,Event1,2022,971,22,0,0,0
Curling,Event1,2018,406,29,0,0,0
Skating,Event1,2014,317,6,0,1,1
Bobsleigh,Event3,2006,243,37,0,0,1
Curling,Event3,2014,285,13,0,0,1
Snowboard,Event1,2022,12,2,1,0,1
Curling,Event4,2014,370,3,0,1,1
Snowboard,Event2,2022,125,18,1,1,0
Skiing,Event2,2018,262,50,1,1,1
Bobsleigh,Event3,2022,166,4,0,0,0
Curling,Event2,2006,3,7,1,1,0
Snowboard,Event1,2014,762,2,0,1,1
Skiing,Event4,2010,123,48,0,1,1
Bobsleigh,Event3,2002,288,26,0,1,0
Curling,Event3,2006,751,39,1,1,1
Snowboard,Event4,2006,11,10,0,1,1
Skiing,Event1,2006,393,44,1,0,1
Bobsleigh,Event4,2010,91,17,1,0,1
Skiing,Event4,2010,346,14,0,1,1
Snowboard,Event3,2010,16,36,0,0,0
Snowboard,Event1,2014,737,38,1,1,1
Curling,Event3,2014,934,17,0,1,0
Snowboard,Event3,2006,423,41,0,0,0
Snowboard,Event2,2010,332,4,0,1,1
Skating,Event4,2002,155,13,1,0,1
Skating,Event1,2014,61,28,0,0,0
Skating,Event2,2010,331,13,0,0,1
Skiing,Event4,2014,191,12,0,1,1
Skiing,Event4,2010,273,44,0,0,1
Curling,Event4,2018,38,23,1,0,0
Bobsleigh,Event2,2018,210,14,1,0,0
Snowboard,Event2,2018,434,42,1,1,0
Curling,Event1,2014,292,25,1,1,1
Bobsleigh,Event3,2014,569,23,1,0,1
Skiing,Event3,2010,60,48,0,1,0
Snowboard,Event2,2010,480,1,0,1,0
Skiing,Event2,2018,353,41,1,0,1
Curling,Event2,2010,700,22,0,0,0
Curling,Event4,2010,853,37,0,0,0
Skating,Event2,2018,877,14,0,1,0
Skiing,Event4,2014,225,1,0,0,0
Snowboard,Event3,2002,108,48,1,1,1
Bobsleigh,Event2,2022,706,5,0,0,1
Skiing,Event4,2002,593,30,0,1,1
Skating,Event3,2010,959,46,1,0,1
Snowboard,Event1,2010,254,33,1,1,1
Curling,Event3,2006,120,50,1,1,1
Bobsleigh,Event4,2018,323,39,1,0,1
Curling,Event4,2006,169,46,1,0,0
Skating,Event2,2014,775,3,0,0,0
Skating,Event4,2014,784,21,0,1,0
Curling,Event3,2006,22,29,1,0,0
Snowboard,Event4,2014,831,45,0,1,0
Skating,Event1,2018,106,31,0,0,1
Curling,Event2,2014,768,16,1,1,0
Bobsleigh,Event2,2018,47,5,0,0,1
Curling,Event3,2002,193,23,1,0,1
Snowboard,Event2,2014,128,5,0,1,1
Bobsleigh,Event2,2002,456,14,1,1,1
Curling,Event3,2010,124,18,1,1,1
Skating,Event4,2006,66,42,0,1,1
Snowboard,Event2,2014,413,15,1,0,0
Snowboard,Event3,2006,562,13,0,0,1
Snowboard,Event3,2014,520,48,0,1,1
Bobsleigh,Event1,2018,543,4,1,0,0
Curling,Event3,2010,971,26,0,0,1
Skiing,Event4,2006,269,45,1,0,1
Curling,Event4,2006,81,17,0,0,0
Curling,Event4,2006,782,10,0,0,1
Skating,Event1,2022,235,1,0,1,0
Skiing,Event4,2010,502,27,1,0,1
Curling,Event4,2018,830,7,0,0,1
Curling,Event2,2022,500,45,0,0,1
Skating,Event2,2022,594,12,1,0,0
Curling,Event1,2006,408,32,0,1,0
Curling,Event2,2018,319,5,1,1,1
Skiing,Event2,2018,505,20,0,1,0
Bobsleigh,Event3,2018,522,5,0,1,0
Curling,Event1,2014,493,35,0,0,0
Bobsleigh,Event2,2018,664,35,1,0,0
Snowboard,Event2,2006,807,29,0,1,1
Snowboard,Event3,2006,608,21,0,1,0
Curling,Event2,2002,450,11,1,1,0
Skiing,Event3,2014,819,44,0,0,0
Bobsleigh,Event4,2018,31,5,1,1,1
Skiing,Event1,2010,721,5,0,0,1
Skating,Event4,2002,909,11,0,0,1
Curling,Event3,2018,458,20,1,1,0
Curling,Event4,2018,663,36,1,0,1
Curling,Event2,2014,471,27,0,1,0
Snowboard,Event3,2022,68,46,0,1,0
Bobsleigh,Event3,2014,299,5,1,1,0
Bobsleigh,Event4,2022,250,44,0,1,1
Bobsleigh,Event1,2018,279,23,0,1,1
Bobsleigh,Event4,2022,508,34,1,0,1
Skating,Event2,2014,76,35,0,1,1
Skating,Event2,2006,777,40,1,0,1
Curling,Event3,2010,333,1,0,1,1
Bobsleigh,Event1,2006,124,31,0,1,0
Bobsleigh,Event1,2022,4,15,1,1,0
Curling,Event3,2002,229,33,0,1,0
Bobsleigh,Event3,2002,641,11,1,0,1
Skating,Event3,2002,16,34,1,0,1
Skiing,Event4,2022,765,33,0,0,0
Curling,Event2,2018,312,3,0,1,1
Snowboard,Event3,2006,368,3,0,1,1
Bobsleigh,Event3,2010,328,31,1,1,0
Curling,Event1,2002,702,43,1,0,1
Bobsleigh,Event1,2010,323,31,0,1,0
Skiing,Event4,2002,798,2,1,1,0
Bobsleigh,Event1,2022,352,13,0,1,1
Bobsleigh,Event1,2022,169,19,1,1,1
Snowboard,Event4,2022,605,6,0,1,0
Curling,Event4,2018,999,29,1,1,1
Skating,Event3,2014,805,2,1,0,1
Curling,Event4,2002,382,13,0,0,1
Snowboard,Event4,2018,410,25,0,0,1
Skating,Event1,2010,111,19,0,0,1
Curling,Event3,2018,456,17,1,0,0
Bobsleigh,Event1,2018,901,16,1,0,0
Curling,Event2,2002,616,42,1,1,0
Skiing,Event2,2002,811,13,1,1,1
Bobsleigh,Event1,2002,487,12,1,1,1
Snowboard,Event4,2006,962,16,0,1,0
Bobsleigh,Event3,2014,885,34,0,1,0
Skating,Event1,2002,292,7,0,1,1
Bobsleigh,Event4,2014,499,39,1,0,0
Curling,Event3,2018,393,31,0,1,0
Snowboard,Event4,2014,322,22,1,0,0
Skiing,Event3,2010,271,43,0,0,1
Skating,Event2,2018,948,48,0,1,1
Bobsleigh,Event3,2002,242,44,1,1,1
Skating,Event4,2018,619,38,1,0,1
Snowboard,Event4,2006,579,6,1,0,0
Skating,Event1,2022,743,40,1,0,1
Skating,Event3,2014,286,12,1,0,1
Curling,Event3,2010,280,22,0,1,1
Skiing,Event1,2018,343,17,1,0,1
Skating,Event1,2014,326,6,0,0,1
Bobsleigh,Event1,2006,460,35,0,0,0
Skating,Event4,2018,973,39,0,0,1
Snowboard,Event4,2014,471,1,1,1,0
Skiing,Event2,2018,670,44,0,0,1
Bobsleigh,Event4,2018,953,31,1,1,0
Skiing,Event4,2014,69,34,1,0,1
Bobsleigh,Event4,2022,784,34,1,0,1
Curling,Event2,2018,402,14,0,0,0
Curling,Event2,2022,819,27,0,1,1
Skating,Event1,2018,259,26,1,1,1
Snowboard,Event4,2014,32,50,1,0,1
Skating,Event3,2006,837,17,1,1,0
Curling,Event1,2022,477,25,0,0,0
Skiing,Event2,2018,631,16,1,0,0
Skiing,Event2,2002,364,16,1,1,0
Skating,Event3,2014,538,28,1,0,0
Skiing,Event2,2006,193,6,1,0,1
Skiing,Event3,2002,951,21,1,1,1
Curling,Event4,2014,530,27,0,0,1
Bobsleigh,Event2,2006,232,16,1,1,1
Curling,Event1,2002,565,18,1,1,1
Bobsleigh,Event4,2002,425,46,0,1,0
Bobsleigh,Event3,2002,15,14,0,1,0
Bobsleigh,Event2,2022,185,41,1,1,0
Curling,Event3,2022,439,24,1,1,1
Skiing,Event2,2022,820,4,0,1,1
Bobsleigh,Event2,2014,267,20,0,0,0
Snowboard,Event1,2010,696,14,1,0,1
Skating,Event2,2010,645,46,1,0,1
Skiing,Event4,2022,524,6,0,1,1
Skating,Event1,2006,757,49,1,0,1
Skating,Event1,2018,891,48,1,0,1
Snowboard,Event2,2022,267,4,1,1,1
Bobsleigh,Event3,2002,135,4,1,0,1
Skiing,Event1,2018,970,47,1,1,0
Bobsleigh,Event2,2010,245,1,0,0,1
Snowboard,Event3,2014,317,15,1,1,0
Snowboard,Event1,2022,329,17,0,0,0
Curling,Event1,2018,364,4,1,1,0
Skiing,Event3,2022,194,38,0,0,0
Skating,Event2,2006,764,40,0,1,0
Skiing,Event3,2022,374,50,1,1,1
Curling,Event3,2018,510,24,1,1,1
Snowboard,Event2,2006,609,16,1,0,0
Skiing,Event3,2002,995,35,1,1,1
Snowboard,Event2,2018,963,1,1,1,0
Snowboard,Event2,2018,457,34,0,0,0
Snowboard,Event4,2010,647,42,1,1,0
Bobsleigh,Event3,2010,890,27,0,1,1
Bobsleigh,Event1,2006,935,11,1,0,1
Skating,Event4,2010,55,38,0,0,0
Bobsleigh,Event3,2022,929,9,0,1,1
Snowboard,Event1,2014,295,14,0,1,1
Snowboard,Event3,2014,507,13,0,0,0
Skating,Event3,2010,14,44,1,0,0
Snowboard,Event4,2002,931,35,0,0,0
Curling,Event1,2006,776,26,1,0,0
Bobsleigh,Event3,2006,915,28,0,1,1
Bobsleigh,Event3,2014,68,2,1,0,1
Curling,Event4,2010,431,24,0,0,0
Skiing,Event2,2002,668,1,0,1,0
Snowboard,Event2,2006,93,22,0,0,0
Bobsleigh,Event3,2002,827,48,1,1,1
Curling,Event1,2018,387,2,1,0,0
Skiing,Event4,2014,144,14,0,1,1
Skating,Event3,2014,119,3,1,0,1
Skiing,Event4,2014,983,42,0,1,1
Snowboard,Event2,2002,262,8,0,0,0
Bobsleigh,Event2,2018,27,33,1,1,0
Skiing,Event1,2014,63,48,1,1,1
Bobsleigh,Event4,2022,339,35,1,1,1
Bobsleigh,Event1,2006,825,47,0,1,1
Skating,Event3,2014,955,39,0,0,0
Bobsleigh,Event3,2018,734,26,1,0,0
Skiing,Event1,2010,324,14,0,1,0
Skiing,Event3,2018,838,35,0,0,1
Skiing,Event1,2002,158,26,1,1,1
Skating,Event4,2010,208,46,1,1,0
Bobsleigh,Event2,2018,143,22,0,0,1
Curling,Event2,2002,198,23,0,0,1
Curling,Event4,2006,702,16,0,0,1
Snowboard,Event1,2018,911,45,1,0,0
Curling,Event3,2018,22,20,1,0,0
Bobsleigh,Event3,2022,849,50,1,1,0
Skiing,Event1,2006,456,7,1,0,0
Snowboard,Event1,2022,894,30,1,1,0
Skating,Event2,2002,342,10,1,1,0
Bobsleigh,Event1,2002,13,29,0,1,1
Snowboard,Event4,2010,430,48,1,0,1
Bobsleigh,Event2,2010,896,39,1,1,1
Curling,Event4,2010,191,22,0,1,1
Bobsleigh,Event4,2018,597,37,1,1,0
Snowboard,Event3,2002,398,41,1,0,0
Curling,Event2,2022,492,48,0,0,1
Skiing,Event3,2022,662,4,1,0,1
Skiing,Event4,2022,684,41,0,0,0
Skiing,Event3,2014,933,32,0,1,1
Skiing,Event1,2010,654,42,1,0,0
Snowboard,Event3,2002,403,9,0,1,0
Snowboard,Event1,2010,737,45,1,1,0
Curling,Event1,2018,548,4,1,0,0
Skating,Event2,2010,836,37,0,1,0
Skating,Event4,2018,63,45,1,1,0
Skating,Event4,2006,302,45,1,0,1
Bobsleigh,Event4,2006,97,35,1,1,0
Skiing,Event4,2010,512,20,0,0,0
Bobsleigh,Event2,2022,310,34,1,0,0
Snowboard,Event3,2002,431,44,0,0,1
Skating,Event3,2018,809,10,1,0,1
Bobsleigh,Event2,2006,105,12,1,0,0
Snowboard,Event4,2014,413,15,1,0,1
Skiing,Event4,2022,259,17,1,1,1
Curling,Event2,2010,411,40,1,1,0
Bobsleigh,Event2,2002,489,24,0,1,0
Curling,Event3,2022,673,10,1,1,1
Bobsleigh,Event1,2022,642,21,0,0,1
Bobsleigh,Event3,2022,341,46,0,1,1
Bobsleigh,Event3,2018,471,34,1,0,0
Snowboard,Event2,2002,184,30,1,0,1
Snowboard,Event2,2006,359,39,1,0,0
Skating,Event3,2006,294,49,0,1,0
Curling,Event3,2006,317,7,1,1,1
Skating,Event4,2002,827,17,0,0,0
Skiing,Event1,2010,690,50,1,0,0
Curling,Event2,2010,533,17,1,0,0
Curling,Event4,2014,76,9,1,1,0
Skating,Event4,2022,514,22,0,0,0
Bobsleigh,Event3,2010,500,37,1,0,0
Curling,Event1,2018,610,47,0,0,0
Bobsleigh,Event3,2002,620,40,1,1,1
Skiing,Event2,2022,579,16,1,1,1
Skating,Event2,2014,656,21,1,0,0
Curling,Event2,2018,900,25,1,1,0
Bobsleigh,Event1,2002,568,1,1,0,0
Snowboard,Event1,2002,716,16,0,0,1
Curling,Event4,2018,158,35,1,1,0
Curling,Event1,2006,11,30,0,0,0
Bobsleigh,Event2,2006,210,46,1,1,1
Curling,Event1,2010,276,5,1,0,0
Bobsleigh,Event1,2022,917,9,1,0,0
Snowboard,Event3,2006,679,36,1,0,1
Snowboard,Event2,2010,598,11,1,0,1
Skating,Event3,2010,624,6,0,0,0
Curling,Event3,2010,870,34,1,1,0
Snowboard,Event2,2010,410,42,0,0,1
Skiing,Event1,2010,329,36,1,1,0
Skiing,Event2,2018,420,6,1,0,1
Skiing,Event4,2014,580,21,0,0,0
Bobsleigh,Event1,2010,337,17,0,0,0
Bobsleigh,Event2,2018,287,22,1,1,1
Snowboard,Event3,2002,862,3,0,1,0
Snowboard,Event4,2010,753,35,0,1,0
Skiing,Event1,2018,654,43,0,1,1
Skiing,Event1,2018,926,32,1,0,1
Bobsleigh,Event3,2022,151,43,0,1,1
Skating,Event4,2018,26,45,1,1,0
Skiing,Event1,2010,712,42,0,0,0
Bobsleigh,Event2,2010,721,12,1,1,1
Skiing,Event1,2006,997,23,0,0,1
Bobsleigh,Event2,2010,712,18,1,0,1
Bobsleigh,Event4,2006,858,19,1,1,1
Bobsleigh,Event4,2006,976,4,0,1,1
Curling,Event1,2018,97,44,0,0,1
Curling,Event3,2022,472,20,0,0,1
Curling,Event1,2022,158,11,0,0,1
Snowboard,Event4,2010,468,16,0,1,0
Snowboard,Event4,2014,353,29,1,1,1
Curling,Event3,2018,424,36,1,1,1
